X Raw,Y Raw,,
20.015625,23.308594,,
18.228516,23.308594,,
18.943359,24.025781,,
19.836914,24.205078,,
17.15625,21.874219,,
18.764648,24.205078,,
17.334961,24.563672,,
19.836914,23.846484,,
18.228516,23.667188,,
19.658203,24.742969,,
19.658203,24.025781,,
18.585938,24.742969,,
19.12207,23.487891,North,
19.836914,23.487891,X Avg,Y Avg
20.373047,22.95,19.03867187,23.7628126
10.722656,8.60625,x,x
6.076172,6.454687,x,x
3.038086,2.330859,x,x
2.501953,4.303125,x,x
2.859375,4.661719,x,x
1.072266,3.585938,,
1.072266,2.86875,,
1.429688,3.944531,,
3.931641,4.303125,,
1.429688,3.227344,,
3.216797,5.020313,,
1.250977,3.048047,,
2.323242,4.482422,,
2.501953,3.944531,,
0.714844,2.151562,,
2.680664,1.972266,,
0.893555,3.765234,,
1.072266,3.944531,,
2.501953,3.944531,,
1.072266,4.303125,East,
1.96582,2.689453,X Avg,Y Avg
1.608398,4.482422,1.808134353,3.628125
-0.893555,8.068359,x,x
-11.973633,11.654297,x,x
-16.798828,20.439844,x,x
-18.764648,23.487891,x,x
-21.981445,22.053516,,
-21.624023,22.412109,,
-21.802734,23.667188,,
-21.981445,22.770703,,
-22.338867,23.487891,,
-20.730469,24.384375,,
-21.266602,21.336328,,
-22.338867,23.846484,,
-21.981445,22.053516,,
-20.730469,23.667188,,
-21.087891,22.232812,,
-21.802734,25.460156,,
-21.266602,22.770703,,
-21.445312,22.95,,
-20.90918,22.770703,,
-21.802734,24.025781,,
-21.981445,23.846484,,
-21.266602,23.487891,,
-22.517578,22.591406,,
-21.445312,24.384375,,
-21.266602,24.922266,South,
-22.160156,24.742969,X Avg,Y Avg
-22.696289,24.922266,-21.67064361,23.42552652
-21.266602,34.245703,x,x
-9.650391,39.086719,x,x
-2.680664,41.417578,x,x
-8.220703,41.596875,,
-8.756836,42.851953,,
-9.114258,42.851953,,
-8.399414,42.493359,,
-10.186523,42.134766,,
-8.220703,43.389844,,
-5.897461,44.286328,,
-4.289062,43.03125,,
-4.467773,43.927734,,
-2.501953,44.107031,,
-4.467773,43.927734,,
-5.182617,43.569141,,
-4.289062,44.107031,West,
-5.003906,42.314062,X Avg,Y Avg
-6.969727,43.927734,-6.3978514,43.234453
-6.612305,43.927734,x,x
0,49.127344,x,x
17.15625,33.349219,x,x
15.726562,21.157031,x,x
14.833008,27.073828,x,x
16.977539,26.715234,,
18.585938,26.177344,,
16.620117,27.073828,,
17.15625,25.81875,,
16.798828,25.460156,,
17.334961,26.356641,,
15.905273,26.356641,,
17.334961,25.280859,,
18.228516,25.460156,,
16.620117,25.280859,,
15.369141,24.384375,,
16.262695,24.205078,North,
16.798828,26.894531,X Avg,Y Avg
16.620117,25.639453,16.90094864,25.79313607
