Test 1,,,,,,Test 2,,,,,,Test 3,,,,,,,
,,,,,,,,,,,,,,,,,,,
X Raw,Y Raw,,,Sum1,,X Raw,Y Raw,,,Sum2,,X Raw,Y Raw,,,Sum3,,,
16.977539,23.487891,,,-6.510352,,15.726562,21.515625,,,-5.789063,,20.015625,23.308594,,,-3.292969,,,
16.620117,23.846484,,,-7.226367,,16.441406,20.798437,,,-4.357031,,18.228516,23.308594,,,-5.080078,,,
17.513672,22.232812,,,-4.71914,,15.547852,22.053516,,,-6.505664,,18.943359,24.025781,,,-5.082422,,,
17.692383,21.694922,,,-4.002539,,15.369141,20.439844,,,-5.070703,,19.836914,24.205078,,,-4.368164,,,
16.262695,23.846484,,,-7.583789,,15.905273,21.336328,,,-5.431055,,17.15625,21.874219,,,-4.717969,,,
16.441406,21.157031,,,-4.715625,,17.334961,22.770703,North,,-5.435742,,18.764648,24.205078,,,-5.44043,,,
18.407227,21.336328,,,-2.929101,,18.764648,20.619141,X Average,Y Average,-1.854493,,17.334961,24.563672,,,-7.228711,,,
17.334961,22.770703,,,-5.435742,,15.369141,20.798437,16.307373,21.29150388,-5.429296,,19.836914,23.846484,,,-4.00957,,,
17.513672,21.515625,,,-4.001953,,16.307373,21.29150388,,,-4.98413088,,18.228516,23.667188,,,-5.438672,,,
17.513672,22.95,,,-5.436328,,16.307373,21.29150388,,,-4.98413088,,19.658203,24.742969,,,-5.084766,,,
18.228516,23.308594,,,-5.080078,,16.307373,21.29150388,,,-4.98413088,,19.658203,24.025781,,,-4.367578,,,
16.620117,23.487891,North,,-6.867774,,16.307373,21.29150388,,,-4.98413088,,18.585938,24.742969,,,-6.157031,,Mean X,Mean Y
17.513672,22.232812,X Avg,Y Avg,-4.71914,,16.307373,21.29150388,,,-4.98413088,,19.12207,23.487891,North,,-4.365821,,17.55182524,22.54857421
17.692383,22.412109,17.30943086,22.59140614,-4.719726,,16.307373,21.29150388,,,-4.98413088,,19.836914,23.487891,X Avg,Y Avg,-3.650977,,STDEV X,STDEV Y
17.30943086,22.59140614,,,-5.28197528,,16.307373,21.29150388,,,-4.98413088,,20.373047,22.95,19.03867187,23.7628126,-2.576953,,1.398943736,1.257221338
15.547852,15.957422,x,x,-0.40957,,16.083984,16.495313,x,x,-0.411329,,10.722656,8.60625,x,x,2.116406,,,
8.041992,5.558203,x,x,2.483789,,3.75293,-1.613672,x,x,5.366602,,3.038086,2.330859,x,x,0.707227,,,
1.429688,-0.717187,,,2.146875,,2.859375,-2.151562,,,5.010937,,1.072266,3.585938,,,-2.513672,,,
-3.216797,1.075781,,,-4.292578,,2.859375,-1.434375,,,4.29375,,1.072266,2.86875,,,-1.796484,,,
-2.680664,1.972266,,,-4.65293,,2.501953,-1.075781,,,3.577734,,1.429688,3.944531,,,-2.514843,,,
-1.072266,1.792969,,,-2.865235,,2.323242,-3.048047,,,5.371289,,3.931641,4.303125,,,-0.371484,,,
-1.250977,1.972266,,,-3.223243,,1.787109,-1.075781,,,2.86289,,1.429688,3.227344,,,-1.797656,,,
-0.357422,1.434375,,,-1.791797,,2.323242,-0.179297,,,2.502539,,3.216797,5.020313,,,-1.803516,,,
-1.429688,2.86875,,,-4.298438,,3.216797,-1.792969,,,5.009766,,1.250977,3.048047,,,-1.79707,,,
-2.144531,1.434375,,,-3.578906,,1.608398,-0.179297,,,1.787695,,2.323242,4.482422,,,-2.15918,,,
-0.536133,2.689453,,,-3.225586,,1.96582,-0.896484,East,,2.862304,,2.501953,3.944531,,,-1.442578,,,
-1.96582,3.048047,,,-5.013867,,2.323242,-2.330859,X Average,Y Average,4.654101,,0.714844,2.151562,,,-1.436718,,,
-1.608398,1.972266,,,-3.580664,,2.859375,-1.075781,2.420720727,-1.385475727,3.935156,,2.680664,1.972266,,,0.708398,,,
-1.787109,1.792969,,,-3.580078,,2.420720727,-1.385475727,,,3.806196454,,0.893555,3.765234,,,-2.871679,,,
-1.608398,2.330859,,,-3.939257,,2.420720727,-1.385475727,,,3.806196454,,1.072266,3.944531,,,-2.872265,,,
