WARNING ,Connection established: True
WARNING ,GPSNavInit
WARNING ,goodFix and end GPSNavInit
WARNING ,End initialize IMU & GPS
WARNING ,begin calibrateMag
DEBUG   ,15.369141,10.757812
DEBUG   ,15.369141,10.757812
DEBUG   ,15.547852,10.578516
DEBUG   ,15.547852,10.578516
DEBUG   ,14.296875,7.530469
DEBUG   ,14.296875,7.530469
DEBUG   ,14.296875,7.530469
DEBUG   ,14.296875,7.530469
DEBUG   ,14.296875,7.530469
DEBUG   ,14.296875,7.530469
DEBUG   ,6.433594,3.227344
DEBUG   ,6.433594,3.227344
DEBUG   ,3.931641,2.510156
DEBUG   ,3.931641,2.510156
DEBUG   ,-1.072266,2.510156
DEBUG   ,-1.072266,2.510156
DEBUG   ,-1.787109,-1.434375
DEBUG   ,-1.787109,-1.434375
DEBUG   ,-4.467773,-0.179297
DEBUG   ,-4.467773,-0.179297
DEBUG   ,-9.471680,1.613672
DEBUG   ,-9.471680,1.613672
DEBUG   ,-11.437500,0.358594
DEBUG   ,-11.437500,0.358594
DEBUG   ,-11.437500,0.358594
DEBUG   ,-11.437500,0.358594
DEBUG   ,-11.437500,0.358594
DEBUG   ,-11.437500,0.358594
DEBUG   ,-13.403320,7.709766
DEBUG   ,-13.403320,7.709766
DEBUG   ,-15.011719,10.757812
DEBUG   ,-15.011719,10.757812
DEBUG   ,-15.726562,13.626563
DEBUG   ,-15.726562,13.626563
DEBUG   ,-15.905273,14.881641
DEBUG   ,-15.905273,14.881641
DEBUG   ,-15.905273,18.108984
DEBUG   ,-15.905273,18.108984
DEBUG   ,-16.441406,20.081250
DEBUG   ,-16.441406,20.081250
DEBUG   ,-16.262695,21.336328
DEBUG   ,-16.262695,21.336328
DEBUG   ,-16.262695,21.336328
DEBUG   ,-16.262695,21.336328
DEBUG   ,-16.262695,21.336328
DEBUG   ,-16.262695,21.336328
DEBUG   ,-18.764648,17.750391
DEBUG   ,-18.764648,17.750391
DEBUG   ,-20.194336,16.316016
DEBUG   ,-20.194336,16.316016
DEBUG   ,-22.160156,14.343750
DEBUG   ,-22.160156,14.343750
DEBUG   ,-19.836914,11.295703
DEBUG   ,-19.836914,11.295703
DEBUG   ,-16.977539,10.578516
DEBUG   ,-16.977539,10.578516
DEBUG   ,-15.011719,6.813281
DEBUG   ,-15.011719,6.813281
DEBUG   ,-10.365234,4.303125
DEBUG   ,-10.365234,4.303125
DEBUG   ,-10.365234,4.303125
DEBUG   ,-10.365234,4.303125
DEBUG   ,-4.646484,0.358594
DEBUG   ,-4.646484,0.358594
DEBUG   ,0.178711,0.896484
DEBUG   ,0.178711,0.896484
DEBUG   ,1.965820,1.972266
DEBUG   ,1.965820,1.972266
DEBUG   ,4.289062,5.378906
DEBUG   ,4.289062,5.378906
DEBUG   ,6.612305,3.048047
DEBUG   ,6.612305,3.048047
DEBUG   ,9.650391,5.020313
DEBUG   ,9.650391,5.020313
DEBUG   ,11.080078,7.530469
DEBUG   ,11.080078,7.530469
DEBUG   ,12.152344,8.964844
DEBUG   ,12.152344,8.964844
DEBUG   ,11.794922,11.116406
DEBUG   ,11.794922,11.116406
DEBUG   ,13.045898,12.371484
DEBUG   ,13.045898,12.371484
DEBUG   ,13.045898,12.371484
DEBUG   ,13.045898,12.371484
DEBUG   ,15.905273,17.391797
DEBUG   ,15.905273,17.391797
DEBUG   ,15.905273,17.391797
DEBUG   ,15.905273,17.391797
DEBUG   ,15.905273,17.391797
DEBUG   ,18.228516,18.646875
DEBUG   ,18.228516,18.646875
DEBUG   ,15.190430,22.053516
DEBUG   ,15.190430,22.053516
DEBUG   ,11.973633,27.432422
DEBUG   ,11.973633,27.432422
DEBUG   ,10.007812,29.404687
DEBUG   ,10.007812,29.404687
DEBUG   ,7.327148,35.321484
DEBUG   ,7.327148,35.321484
DEBUG   ,4.110352,35.680078
DEBUG   ,4.110352,35.680078
DEBUG   ,1.429688,37.293750
DEBUG   ,1.429688,37.293750
DEBUG   ,-3.395508,35.321484
DEBUG   ,-3.395508,35.321484
DEBUG   ,-3.395508,35.321484
DEBUG   ,-3.395508,35.321484
DEBUG   ,-11.794922,34.066406
DEBUG   ,-11.794922,34.066406
DEBUG   ,-11.437500,32.632031
DEBUG   ,-11.437500,32.632031
DEBUG   ,-10.901367,34.962891
DEBUG   ,-10.901367,34.962891
DEBUG   ,-11.973633,32.094141
DEBUG   ,-11.973633,32.094141
DEBUG   ,-11.616211,31.018359
DEBUG   ,-11.616211,31.018359
DEBUG   ,-13.760742,29.225391
DEBUG   ,-13.760742,29.225391
DEBUG   ,-13.403320,27.073828
DEBUG   ,-13.403320,27.073828
DEBUG   ,-15.011719,27.611719
DEBUG   ,-15.011719,27.611719
DEBUG   ,-17.334961,28.508203
DEBUG   ,-17.334961,28.508203
DEBUG   ,-17.334961,28.508203
DEBUG   ,-17.334961,28.508203
DEBUG   ,-18.407227,25.280859
DEBUG   ,-18.407227,25.280859
DEBUG   ,-20.551758,25.639453
DEBUG   ,-20.551758,25.639453
DEBUG   ,-21.445312,22.591406
DEBUG   ,-21.445312,22.591406
DEBUG   ,-24.662109,21.515625
DEBUG   ,-24.662109,21.515625
DEBUG   ,-24.662109,19.364062
DEBUG   ,-24.662109,19.364062
DEBUG   ,-23.947266,22.950000
DEBUG   ,-23.947266,22.950000
DEBUG   ,-21.981445,25.280859
DEBUG   ,-21.981445,25.280859
DEBUG   ,-19.658203,25.460156
DEBUG   ,-19.658203,25.460156
DEBUG   ,-19.658203,25.460156
DEBUG   ,-19.658203,25.460156
DEBUG   ,-13.224609,31.197656
DEBUG   ,-13.224609,31.197656
DEBUG   ,-11.258789,34.604297
DEBUG   ,-11.258789,34.604297
DEBUG   ,-5.182617,38.190234
DEBUG   ,-5.182617,38.190234
DEBUG   ,13.224609,9.323437
DEBUG   ,11.258789,6.633984
DEBUG   ,11.258789,6.633984
DEBUG   ,11.258789,6.633984
DEBUG   ,11.258789,6.633984
DEBUG   ,11.258789,6.633984
DEBUG   ,11.258789,6.633984
DEBUG   ,1.250977,2.330859
DEBUG   ,1.250977,2.330859
DEBUG   ,-0.714844,1.792969
DEBUG   ,-0.714844,1.792969
DEBUG   ,1.429688,1.434375
DEBUG   ,1.429688,1.434375
DEBUG   ,-3.574219,1.792969
DEBUG   ,-3.574219,1.792969
DEBUG   ,-6.254883,-1.613672
DEBUG   ,-6.254883,-1.613672
DEBUG   ,-8.220703,0.358594
DEBUG   ,-8.220703,0.358594
DEBUG   ,-9.292969,-1.434375
DEBUG   ,-9.292969,-1.434375
DEBUG   ,-9.292969,-1.434375
DEBUG   ,-9.292969,-1.434375
DEBUG   ,-10.543945,1.613672
DEBUG   ,-10.543945,1.613672
DEBUG   ,-13.224609,3.227344
DEBUG   ,-13.224609,3.227344
DEBUG   ,-15.547852,7.709766
DEBUG   ,-15.547852,7.709766
DEBUG   ,-16.620117,9.144141
DEBUG   ,-16.620117,9.144141
DEBUG   ,-16.620117,14.164453
DEBUG   ,-16.620117,14.164453
DEBUG   ,-18.049805,16.674609
DEBUG   ,-18.049805,16.674609
DEBUG   ,-20.015625,16.136719
DEBUG   ,-20.015625,16.136719
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.517578,15.060937
DEBUG   ,-22.696289,9.502734
DEBUG   ,-22.696289,9.502734
DEBUG   ,-19.122070,8.068359
DEBUG   ,-19.122070,8.068359
DEBUG   ,-15.190430,3.406641
DEBUG   ,-15.190430,3.406641
DEBUG   ,-11.437500,3.227344
DEBUG   ,-11.437500,3.227344
DEBUG   ,-5.897461,-0.896484
DEBUG   ,-5.897461,-0.896484
DEBUG   ,-2.144531,0.000000
DEBUG   ,-2.144531,0.000000
DEBUG   ,0.714844,0.358594
DEBUG   ,0.714844,0.358594
DEBUG   ,0.714844,0.358594
DEBUG   ,5.897461,1.613672
DEBUG   ,5.897461,1.613672
DEBUG   ,5.897461,1.613672
DEBUG   ,5.897461,1.613672
DEBUG   ,5.897461,1.613672
DEBUG   ,5.897461,1.613672
DEBUG   ,11.080078,5.737500
DEBUG   ,11.080078,5.737500
DEBUG   ,8.935547,7.889062
DEBUG   ,8.935547,7.889062
DEBUG   ,11.616211,10.937109
DEBUG   ,11.616211,10.937109
DEBUG   ,12.152344,12.550781
DEBUG   ,12.152344,12.550781
DEBUG   ,15.011719,12.550781
DEBUG   ,15.011719,12.550781
DEBUG   ,18.228516,15.419531
DEBUG   ,18.228516,15.419531
DEBUG   ,18.585938,17.571094
DEBUG   ,18.585938,17.571094
DEBUG   ,18.049805,21.694922
DEBUG   ,18.049805,21.694922
DEBUG   ,17.156250,26.177344
DEBUG   ,17.156250,26.177344
DEBUG   ,15.369141,29.046094
DEBUG   ,15.369141,29.046094
DEBUG   ,10.365234,30.480469
DEBUG   ,10.365234,30.480469
DEBUG   ,10.365234,30.480469
DEBUG   ,10.365234,30.480469
DEBUG   ,6.254883,33.528516
DEBUG   ,6.254883,33.528516
DEBUG   ,2.323242,34.604297
DEBUG   ,2.323242,34.604297
DEBUG   ,0.536133,33.887109
DEBUG   ,0.536133,33.887109
DEBUG   ,-3.395508,33.528516
DEBUG   ,-3.395508,33.528516
DEBUG   ,-5.897461,34.245703
DEBUG   ,-5.897461,34.245703
DEBUG   ,-6.254883,34.245703
DEBUG   ,-6.254883,34.245703
DEBUG   ,-6.254883,36.038672
DEBUG   ,-6.254883,36.038672
DEBUG   ,-8.935547,31.914844
DEBUG   ,-8.935547,31.914844
DEBUG   ,-8.935547,31.914844
DEBUG   ,-8.935547,31.914844
DEBUG   ,-10.186523,31.735547
DEBUG   ,-10.186523,31.735547
DEBUG   ,-15.190430,28.508203
DEBUG   ,-15.190430,28.508203
DEBUG   ,-17.513672,29.404687
DEBUG   ,-17.513672,29.404687
DEBUG   ,-16.620117,28.866797
DEBUG   ,-16.620117,28.866797
DEBUG   ,-18.049805,27.791016
DEBUG   ,-18.049805,27.791016
DEBUG   ,-20.909180,27.073828
DEBUG   ,-20.909180,27.073828
DEBUG   ,-20.551758,23.487891
DEBUG   ,-20.551758,23.487891
DEBUG   ,-24.125977,20.619141
DEBUG   ,-24.125977,20.619141
DEBUG   ,-24.125977,20.619141
DEBUG   ,-24.125977,20.619141
DEBUG   ,-25.555664,22.412109
DEBUG   ,-25.555664,22.412109
DEBUG   ,-22.696289,23.129297
DEBUG   ,-22.696289,23.129297
DEBUG   ,-20.194336,24.205078
DEBUG   ,-20.194336,24.205078
DEBUG   ,-16.262695,30.301172
DEBUG   ,-16.262695,30.301172
DEBUG   ,-12.331055,32.452734
DEBUG   ,-12.331055,32.452734
DEBUG   ,-8.220703,34.783594
DEBUG   ,-8.220703,34.783594
DEBUG   ,-4.110352,37.114453
DEBUG   ,-4.110352,37.114453
DEBUG   ,-4.110352,37.114453
DEBUG   ,-4.110352,37.114453
DEBUG   ,-4.110352,37.114453
DEBUG   ,-4.110352,37.114453
DEBUG   ,5.540039,39.983203
DEBUG   ,5.540039,39.983203
DEBUG   ,9.114258,38.548828
DEBUG   ,9.114258,38.548828
DEBUG   ,12.331055,33.887109
DEBUG   ,12.331055,33.887109
DEBUG   ,11.794922,30.839063
DEBUG   ,11.794922,30.839063
DEBUG   ,-18.228516,11.475000
DEBUG   ,-21.266602,12.730078
DEBUG   ,-21.266602,12.730078
DEBUG   ,-23.768555,17.750391
DEBUG   ,-23.768555,17.750391
DEBUG   ,-22.338867,18.826172
DEBUG   ,-22.338867,18.826172
DEBUG   ,-23.232422,20.439844
DEBUG   ,-23.232422,20.439844
DEBUG   ,-21.802734,20.081250
DEBUG   ,-21.802734,20.081250
DEBUG   ,-20.015625,20.798437
DEBUG   ,-20.015625,20.798437
DEBUG   ,-18.585938,19.005469
DEBUG   ,-18.585938,19.005469
DEBUG   ,-18.585938,19.005469
DEBUG   ,-18.585938,19.005469
DEBUG   ,-19.300781,14.343750
DEBUG   ,-19.300781,14.343750
